frequency_hz,normalized_trace_db,insertion_loss_db
1983600000.0,-6.435547,6.435547
1985200000.0,-6.337891,6.337891
1986800000.0,-6.274414,6.274414
1988400000.0,-6.21582,6.21582
1990000000.0,-6.123047,6.123047
1991600000.0,-6.083984,6.083984
1993200000.0,-5.932617,5.932617
1994800000.0,-5.917969,5.917969
1996400000.0,-5.751953,5.751953
1998000000.0,-5.717773,5.717773
1999600000.0,-5.65918,5.65918
2001200000.0,-5.493164,5.493164
2002800000.0,-5.43457,5.43457
2004400000.0,-5.332031,5.332031
2006000000.0,-5.224609,5.224609
2007600000.0,-5.170898,5.170898
2009200000.0,-5.03418,5.03418
2010800000.0,-4.960938,4.960938
2012400000.0,-4.741211,4.741211
2014000000.0,-4.702148,4.702148
2015600000.0,-4.555664,4.555664
2017200000.0,-4.501953,4.501953
2018800000.0,-4.399414,4.399414
2020400000.0,-4.335938,4.335938
2022000000.0,-4.194336,4.194336
2023600000.0,-4.155273,4.155273
2025200000.0,-3.950195,3.950195
2026800000.0,-3.945312,3.945312
2028400000.0,-3.930664,3.930664
2030000000.0,-3.774414,3.774414
2031600000.0,-3.691406,3.691406
2033200000.0,-3.597695,3.597695
2034800000.0,-3.62793,3.62793
2036400000.0,-3.500977,3.500977
2038000000.0,-3.422852,3.422852
2039600000.0,-3.422852,3.422852
2041200000.0,-3.417969,3.417969
2042800000.0,-3.383789,3.383789
2044400000.0,-3.393555,3.393555
2046000000.0,-3.369141,3.369141
2047600000.0,-3.378906,3.378906
2049200000.0,-3.359375,3.359375
2050800000.0,-3.369141,3.369141
2052400000.0,-3.427734,3.427734
2054000000.0,-3.476562,3.476562
2055600000.0,-3.544922,3.544922
2057200000.0,-3.544922,3.544922
2058800000.0,-3.603516,3.603516
2060400000.0,-3.671875,3.671875
2062000000.0,-3.701172,3.701172
2063600000.0,-3.745117,3.745117
2065200000.0,-3.813477,3.813477
2066800000.0,-3.881836,3.881836
2068400000.0,-4.018555,4.018555
2070000000.0,-4.072266,4.072266
2071600000.0,-4.150391,4.150391
2073200000.0,-4.204102,4.204102
2074800000.0,-4.291992,4.291992
2076400000.0,-4.375,4.375
